Anchor,A,B,Label
Artificial Intelligence,Computation and Language,Numerical Analysis,A
Artificial Intelligence,Computation and Language,Sound,A
Artificial Intelligence,Computation and Language,Systems and Control,A
Artificial Intelligence,Computational Geometry,Mathematical Software,0
Artificial Intelligence,Computational Geometry,Multimedia,0
Artificial Intelligence,Computational Geometry,Networking and Internet Architecture,0
Artificial Intelligence,Cryptography and Security,Mathematical Software,0
Artificial Intelligence,Digital Libraries,Sound,0
Artificial Intelligence,Discrete Mathematics,Logic in Computer Science,B
Artificial Intelligence,"Distributed, Parallel, and Cluster Computing",Computational Geometry,0
Artificial Intelligence,Formal Languages and Automata Theory,Networking and Internet Architecture,A
Artificial Intelligence,Graphics,Computer Science and Game Theory,0
Artificial Intelligence,Hardware Architecture,Operating Systems,0
Artificial Intelligence,Information Retrieval,Networking and Internet Architecture,A
Artificial Intelligence,Information Theory,Multimedia,A
Artificial Intelligence,Machine Learning,Information Theory,A
Artificial Intelligence,Multiagent Systems,Computation and Language,A
Artificial Intelligence,Multiagent Systems,Cryptography and Security,A
Artificial Intelligence,Multiagent Systems,Graphics,A
Artificial Intelligence,Multiagent Systems,Software Engineering,A
Artificial Intelligence,Multimedia,Numerical Analysis,0
Artificial Intelligence,Operating Systems,Logic in Computer Science,B
Artificial Intelligence,Operating Systems,Networking and Internet Architecture,0
Artificial Intelligence,Programming Languages,Computer Vision and Pattern Recognition,B
Artificial Intelligence,Software Engineering,Symbolic Computation,B
Artificial Intelligence,Sound,Computational Complexity,0
Artificial Intelligence,Sound,Graphics,0
Computation and Language,Computational Geometry,Multimedia,A
Computation and Language,Cryptography and Security,Information Retrieval,B
Computation and Language,Databases,Digital Libraries,A
Computation and Language,Databases,Software Engineering,A
Computation and Language,Digital Libraries,Computer Science and Game Theory,0
Computation and Language,Discrete Mathematics,Computer Science and Game Theory,A
Computation and Language,Discrete Mathematics,Information Theory,A
Computation and Language,Discrete Mathematics,Mathematical Software,A
Computation and Language,"Distributed, Parallel, and Cluster Computing",Computational Complexity,A
Computation and Language,"Distributed, Parallel, and Cluster Computing",Logic in Computer Science,A
Computation and Language,Graphics,Information Retrieval,0
Computation and Language,Hardware Architecture,Digital Libraries,0
Computation and Language,Hardware Architecture,Graphics,0
Computation and Language,Hardware Architecture,Programming Languages,0
Computation and Language,Information Retrieval,Networking and Internet Architecture,A
Computation and Language,Information Theory,Computational Complexity,B
Computation and Language,Machine Learning,Formal Languages and Automata Theory,B
Computation and Language,Mathematical Software,Computational Complexity,B
Computation and Language,Multiagent Systems,Cryptography and Security,A
Computation and Language,Multiagent Systems,Networking and Internet Architecture,A
Computation and Language,Operating Systems,Computer Science and Game Theory,B
Computation and Language,Programming Languages,Formal Languages and Automata Theory,B
Computation and Language,Robotics,Graphics,A
Computation and Language,Robotics,Information Retrieval,A
Computation and Language,Software Engineering,Artificial Intelligence,B
Computation and Language,Sound,Formal Languages and Automata Theory,B
Computation and Language,Sound,Graphics,0
Computation and Language,Sound,Mathematical Software,0
Computation and Language,Sound,Numerical Analysis,B
Computation and Language,Systems and Control,Computer Vision and Pattern Recognition,0
Computation and Language,Systems and Control,Symbolic Computation,0
Computational Complexity,Computation and Language,Systems and Control,A
Computational Complexity,Computational Geometry,Cryptography and Security,A
Computational Complexity,Computational Geometry,Graphics,A
Computational Complexity,Computer Vision and Pattern Recognition,Information Retrieval,0
Computational Complexity,Databases,Computer Vision and Pattern Recognition,A
Computational Complexity,Digital Libraries,Artificial Intelligence,B
Computational Complexity,Discrete Mathematics,Machine Learning,B
Computational Complexity,Discrete Mathematics,Robotics,B
Computational Complexity,"Distributed, Parallel, and Cluster Computing",Robotics,A
Computational Complexity,Formal Languages and Automata Theory,Information Theory,A
Computational Complexity,Formal Languages and Automata Theory,Networking and Internet Architecture,A
Computational Complexity,Graphics,Computer Science and Game Theory,B
Computational Complexity,Hardware Architecture,Discrete Mathematics,B
Computational Complexity,Human-Computer Interaction,Networking and Internet Architecture,0
Computational Complexity,Machine Learning,Formal Languages and Automata Theory,B
Computational Complexity,Mathematical Software,Computer Science and Game Theory,B
Computational Complexity,Multiagent Systems,Artificial Intelligence,B
Computational Complexity,Multiagent Systems,Human-Computer Interaction,0
Computational Complexity,Multiagent Systems,Systems and Control,0
Computational Complexity,Networking and Internet Architecture,Symbolic Computation,B
Computational Complexity,Operating Systems,Computer Vision and Pattern Recognition,B
Computational Complexity,Operating Systems,Multimedia,0
Computational Complexity,Operating Systems,Networking and Internet Architecture,0
Computational Complexity,Robotics,Computer Vision and Pattern Recognition,A
Computational Complexity,Robotics,Sound,A
Computational Complexity,Software Engineering,Logic in Computer Science,B
Computational Complexity,Software Engineering,Systems and Control,0
Computational Complexity,Sound,Logic in Computer Science,B
Computational Geometry,Computational Complexity,Computer Science and Game Theory,A
Computational Geometry,Computer Science and Game Theory,Numerical Analysis,B
Computational Geometry,Computer Vision and Pattern Recognition,Numerical Analysis,B
Computational Geometry,Cryptography and Security,Computational Complexity,B
Computational Geometry,Databases,Discrete Mathematics,B
Computational Geometry,Databases,Machine Learning,0
Computational Geometry,Databases,Symbolic Computation,0
Computational Geometry,Digital Libraries,Discrete Mathematics,B
Computational Geometry,Digital Libraries,Mathematical Software,B
Computational Geometry,Discrete Mathematics,Artificial Intelligence,A
Computational Geometry,Discrete Mathematics,Systems and Control,A
Computational Geometry,"Distributed, Parallel, and Cluster Computing",Computer Science and Game Theory,0
Computational Geometry,"Distributed, Parallel, and Cluster Computing",Graphics,B
Computational Geometry,"Distributed, Parallel, and Cluster Computing",Numerical Analysis,B
Computational Geometry,Hardware Architecture,Multimedia,0
Computational Geometry,Hardware Architecture,Systems and Control,0
Computational Geometry,Human-Computer Interaction,Machine Learning,0
Computational Geometry,Human-Computer Interaction,Software Engineering,0
Computational Geometry,Machine Learning,Formal Languages and Automata Theory,0
Computational Geometry,Machine Learning,Software Engineering,0
Computational Geometry,Multiagent Systems,Artificial Intelligence,B
Computational Geometry,Multimedia,Logic in Computer Science,B
Computational Geometry,Multimedia,Numerical Analysis,B
Computational Geometry,Networking and Internet Architecture,Symbolic Computation,B
Computational Geometry,Operating Systems,Mathematical Software,B
Computational Geometry,Programming Languages,Information Retrieval,0
Computational Geometry,Programming Languages,Operating Systems,0
Computational Geometry,Software Engineering,Artificial Intelligence,B
Computational Geometry,Software Engineering,Networking and Internet Architecture,0
Computational Geometry,Sound,Networking and Internet Architecture,0
Computational Geometry,Systems and Control,Computational Complexity,B
Computational Geometry,Systems and Control,Mathematical Software,0
Computer Science and Game Theory,Computation and Language,Computational Complexity,A
Computer Science and Game Theory,Computation and Language,Machine Learning,A
Computer Science and Game Theory,Computation and Language,Networking and Internet Architecture,A
Computer Science and Game Theory,Computational Geometry,Cryptography and Security,0
Computer Science and Game Theory,Computational Geometry,Symbolic Computation,B
Computer Science and Game Theory,Computer Vision and Pattern Recognition,Symbolic Computation,B
Computer Science and Game Theory,Databases,Graphics,0
Computer Science and Game Theory,Databases,Multiagent Systems,0
Computer Science and Game Theory,Databases,Networking and Internet Architecture,0
Computer Science and Game Theory,Databases,Sound,0
Computer Science and Game Theory,Digital Libraries,Cryptography and Security,0
Computer Science and Game Theory,Digital Libraries,Machine Learning,0
Computer Science and Game Theory,Discrete Mathematics,Networking and Internet Architecture,0
Computer Science and Game Theory,"Distributed, Parallel, and Cluster Computing",Logic in Computer Science,A
Computer Science and Game Theory,"Distributed, Parallel, and Cluster Computing",Networking and Internet Architecture,A
Computer Science and Game Theory,Formal Languages and Automata Theory,Numerical Analysis,A
Computer Science and Game Theory,Graphics,Computer Vision and Pattern Recognition,A
Computer Science and Game Theory,Hardware Architecture,Cryptography and Security,0
Computer Science and Game Theory,Hardware Architecture,"Distributed, Parallel, and Cluster Computing",B
Computer Science and Game Theory,Hardware Architecture,Machine Learning,0
Computer Science and Game Theory,Hardware Architecture,Symbolic Computation,B
Computer Science and Game Theory,Logic in Computer Science,Mathematical Software,0
Computer Science and Game Theory,Multiagent Systems,Computational Geometry,0
Computer Science and Game Theory,Programming Languages,Operating Systems,0
Computer Science and Game Theory,Robotics,Multimedia,A
Computer Science and Game Theory,Robotics,Symbolic Computation,A
Computer Science and Game Theory,Software Engineering,Computer Vision and Pattern Recognition,A
Computer Science and Game Theory,Software Engineering,Mathematical Software,A
Computer Science and Game Theory,Software Engineering,Multimedia,B
Computer Science and Game Theory,Sound,Artificial Intelligence,0
Computer Vision and Pattern Recognition,Computation and Language,Information Theory,0
Computer Vision and Pattern Recognition,Computational Complexity,Networking and Internet Architecture,A
Computer Vision and Pattern Recognition,Computer Science and Game Theory,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Computer Science and Game Theory,Symbolic Computation,0
Computer Vision and Pattern Recognition,Cryptography and Security,Graphics,B
Computer Vision and Pattern Recognition,Databases,Cryptography and Security,0
Computer Vision and Pattern Recognition,Databases,Networking and Internet Architecture,0
Computer Vision and Pattern Recognition,Digital Libraries,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Discrete Mathematics,Graphics,B
Computer Vision and Pattern Recognition,Discrete Mathematics,Information Theory,0
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Sound,0
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Symbolic Computation,0
Computer Vision and Pattern Recognition,Formal Languages and Automata Theory,Computational Complexity,0
Computer Vision and Pattern Recognition,Formal Languages and Automata Theory,Multimedia,0
Computer Vision and Pattern Recognition,Graphics,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Hardware Architecture,Multiagent Systems,0
Computer Vision and Pattern Recognition,Human-Computer Interaction,Multimedia,0
Computer Vision and Pattern Recognition,Information Theory,Cryptography and Security,0
Computer Vision and Pattern Recognition,Machine Learning,Computational Complexity,A
Computer Vision and Pattern Recognition,Machine Learning,Software Engineering,A
Computer Vision and Pattern Recognition,Multiagent Systems,Information Retrieval,B
Computer Vision and Pattern Recognition,Multiagent Systems,Logic in Computer Science,0
Computer Vision and Pattern Recognition,Multiagent Systems,Systems and Control,0
Computer Vision and Pattern Recognition,Multimedia,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Numerical Analysis,Networking and Internet Architecture,0
Computer Vision and Pattern Recognition,Operating Systems,Computational Geometry,0
Computer Vision and Pattern Recognition,Programming Languages,Computational Complexity,0
Computer Vision and Pattern Recognition,Programming Languages,Mathematical Software,0
Computer Vision and Pattern Recognition,Software Engineering,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Software Engineering,Numerical Analysis,0
Cryptography and Security,Computation and Language,Information Retrieval,0
Cryptography and Security,Computation and Language,Mathematical Software,0
Cryptography and Security,Computational Geometry,Artificial Intelligence,0
Cryptography and Security,Computer Science and Game Theory,Artificial Intelligence,0
Cryptography and Security,Databases,Computer Science and Game Theory,0
Cryptography and Security,Databases,"Distributed, Parallel, and Cluster Computing",B
Cryptography and Security,Databases,Numerical Analysis,0
Cryptography and Security,Digital Libraries,Artificial Intelligence,0
Cryptography and Security,Digital Libraries,"Distributed, Parallel, and Cluster Computing",B
Cryptography and Security,Digital Libraries,Graphics,0
Cryptography and Security,Digital Libraries,Multiagent Systems,B
Cryptography and Security,Digital Libraries,Sound,0
Cryptography and Security,Digital Libraries,Symbolic Computation,0
Cryptography and Security,Discrete Mathematics,Artificial Intelligence,0
Cryptography and Security,Discrete Mathematics,Computer Science and Game Theory,0
Cryptography and Security,Discrete Mathematics,Formal Languages and Automata Theory,0
Cryptography and Security,Discrete Mathematics,Human-Computer Interaction,0
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Computational Complexity,A
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Human-Computer Interaction,A
Cryptography and Security,Formal Languages and Automata Theory,Graphics,0
Cryptography and Security,Formal Languages and Automata Theory,Information Retrieval,0
Cryptography and Security,Formal Languages and Automata Theory,Multimedia,0
Cryptography and Security,Hardware Architecture,"Distributed, Parallel, and Cluster Computing",B
Cryptography and Security,Hardware Architecture,Human-Computer Interaction,0
Cryptography and Security,Hardware Architecture,Information Retrieval,0
Cryptography and Security,Hardware Architecture,Software Engineering,0
Cryptography and Security,Hardware Architecture,Symbolic Computation,0
Cryptography and Security,Information Retrieval,Numerical Analysis,0
Cryptography and Security,Information Theory,Logic in Computer Science,0
Cryptography and Security,Logic in Computer Science,Computer Vision and Pattern Recognition,0
Cryptography and Security,Machine Learning,Information Theory,0
Cryptography and Security,Machine Learning,Logic in Computer Science,0
Cryptography and Security,Mathematical Software,Numerical Analysis,0
Cryptography and Security,Multiagent Systems,Computation and Language,0
Cryptography and Security,Multiagent Systems,Information Theory,0
Cryptography and Security,Operating Systems,Artificial Intelligence,0
Cryptography and Security,Operating Systems,Graphics,0
Cryptography and Security,Programming Languages,Computational Complexity,0
Cryptography and Security,Robotics,Computer Science and Game Theory,0
Cryptography and Security,Robotics,Numerical Analysis,0
Cryptography and Security,Sound,Artificial Intelligence,0
Cryptography and Security,Systems and Control,Artificial Intelligence,A
Cryptography and Security,Systems and Control,Computational Complexity,A
Cryptography and Security,Systems and Control,Information Retrieval,A
Cryptography and Security,Systems and Control,Numerical Analysis,A
Databases,Artificial Intelligence,Symbolic Computation,A
Databases,Computational Geometry,Computer Science and Game Theory,0
Databases,Computational Geometry,Numerical Analysis,B
Databases,Computer Vision and Pattern Recognition,Symbolic Computation,0
Databases,Cryptography and Security,Information Retrieval,B
Databases,Cryptography and Security,Networking and Internet Architecture,0
Databases,Digital Libraries,Cryptography and Security,A
Databases,Digital Libraries,Numerical Analysis,A
Databases,Discrete Mathematics,Artificial Intelligence,B
Databases,"Distributed, Parallel, and Cluster Computing",Computation and Language,A
Databases,"Distributed, Parallel, and Cluster Computing",Multimedia,A
Databases,"Distributed, Parallel, and Cluster Computing",Symbolic Computation,A
Databases,Formal Languages and Automata Theory,Information Retrieval,B
Databases,Formal Languages and Automata Theory,Logic in Computer Science,0
Databases,Graphics,Mathematical Software,0
Databases,Hardware Architecture,Operating Systems,0
Databases,Human-Computer Interaction,Computational Complexity,0
Databases,Machine Learning,Computational Complexity,A
Databases,Machine Learning,Sound,A
Databases,Multiagent Systems,Computer Science and Game Theory,0
Databases,Multiagent Systems,Computer Vision and Pattern Recognition,0
Databases,Multimedia,Graphics,0
Databases,Programming Languages,"Distributed, Parallel, and Cluster Computing",B
Databases,Programming Languages,Machine Learning,B
Databases,Programming Languages,Networking and Internet Architecture,0
Databases,Robotics,Multimedia,0
Databases,Software Engineering,Numerical Analysis,0
Databases,Sound,Numerical Analysis,0
Databases,Systems and Control,Mathematical Software,0
Databases,Systems and Control,Networking and Internet Architecture,0
Digital Libraries,Computation and Language,Computational Complexity,0
Digital Libraries,Computational Complexity,Networking and Internet Architecture,0
Digital Libraries,Computational Complexity,Numerical Analysis,0
Digital Libraries,Computational Geometry,Graphics,0
Digital Libraries,Computer Vision and Pattern Recognition,Computational Complexity,0
Digital Libraries,Cryptography and Security,Numerical Analysis,0
Digital Libraries,Databases,Mathematical Software,A
Digital Libraries,Discrete Mathematics,Graphics,0
Digital Libraries,Discrete Mathematics,Information Retrieval,B
Digital Libraries,Discrete Mathematics,Logic in Computer Science,0
Digital Libraries,Discrete Mathematics,Symbolic Computation,0
Digital Libraries,"Distributed, Parallel, and Cluster Computing",Machine Learning,A
Digital Libraries,"Distributed, Parallel, and Cluster Computing",Symbolic Computation,A
Digital Libraries,Graphics,Computer Science and Game Theory,0
Digital Libraries,Graphics,Information Retrieval,B
Digital Libraries,Hardware Architecture,Formal Languages and Automata Theory,0
Digital Libraries,Hardware Architecture,Mathematical Software,0
Digital Libraries,Human-Computer Interaction,Operating Systems,0
Digital Libraries,Information Theory,Computational Complexity,A
Digital Libraries,Information Theory,Computer Science and Game Theory,A
Digital Libraries,Information Theory,Cryptography and Security,A
Digital Libraries,Machine Learning,Sound,0
Digital Libraries,Machine Learning,Symbolic Computation,0
Digital Libraries,Machine Learning,Systems and Control,0
Digital Libraries,Mathematical Software,Computational Complexity,0
Digital Libraries,Multiagent Systems,Artificial Intelligence,B
Digital Libraries,Multiagent Systems,Robotics,0
Digital Libraries,Multiagent Systems,Sound,0
Digital Libraries,Multimedia,Logic in Computer Science,0
Digital Libraries,Operating Systems,Computational Complexity,0
Digital Libraries,Programming Languages,Machine Learning,0
Digital Libraries,Robotics,Cryptography and Security,0
Digital Libraries,Software Engineering,Computational Complexity,0
Digital Libraries,Sound,Information Theory,B
Discrete Mathematics,Databases,Mathematical Software,B
Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",Computer Science and Game Theory,0
Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",Formal Languages and Automata Theory,B
Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",Software Engineering,0
