Anchor,A,B,Label
Artificial Intelligence,Computation and Language,Computational Geometry,A
Artificial Intelligence,Computation and Language,Cryptography and Security,A
Artificial Intelligence,Computation and Language,Formal Languages and Automata Theory,B
Artificial Intelligence,Computational Geometry,Computational Complexity,B
Artificial Intelligence,Computational Geometry,Symbolic Computation,B
Artificial Intelligence,Computer Science and Game Theory,Symbolic Computation,A
Artificial Intelligence,Digital Libraries,Information Retrieval,B
Artificial Intelligence,Discrete Mathematics,Cryptography and Security,B
Artificial Intelligence,Discrete Mathematics,Symbolic Computation,B
Artificial Intelligence,Discrete Mathematics,Systems and Control,B
Artificial Intelligence,Formal Languages and Automata Theory,Computer Vision and Pattern Recognition,B
Artificial Intelligence,Formal Languages and Automata Theory,Systems and Control,A
Artificial Intelligence,Hardware Architecture,Computer Science and Game Theory,B
Artificial Intelligence,Hardware Architecture,Logic in Computer Science,B
Artificial Intelligence,Hardware Architecture,Software Engineering,B
Artificial Intelligence,Human-Computer Interaction,Computer Vision and Pattern Recognition,B
Artificial Intelligence,Human-Computer Interaction,Logic in Computer Science,A
Artificial Intelligence,Information Retrieval,Symbolic Computation,A
Artificial Intelligence,Information Theory,Cryptography and Security,A
Artificial Intelligence,Information Theory,Graphics,A
Artificial Intelligence,Information Theory,Information Retrieval,A
Artificial Intelligence,Machine Learning,Computational Complexity,A
Artificial Intelligence,Machine Learning,Information Retrieval,A
Artificial Intelligence,Machine Learning,Multimedia,A
Artificial Intelligence,Mathematical Software,Networking and Internet Architecture,B
Artificial Intelligence,Multiagent Systems,Formal Languages and Automata Theory,A
Artificial Intelligence,Multiagent Systems,Operating Systems,A
Artificial Intelligence,Numerical Analysis,Symbolic Computation,B
Artificial Intelligence,Operating Systems,Computer Science and Game Theory,B
Artificial Intelligence,Operating Systems,Formal Languages and Automata Theory,B
Artificial Intelligence,Operating Systems,Multimedia,B
Artificial Intelligence,Programming Languages,Information Theory,B
Artificial Intelligence,Programming Languages,Systems and Control,B
Artificial Intelligence,Robotics,Operating Systems,A
Artificial Intelligence,Software Engineering,Computational Geometry,A
Computation and Language,Artificial Intelligence,Symbolic Computation,A
Computation and Language,Computational Geometry,Numerical Analysis,A
Computation and Language,Cryptography and Security,Artificial Intelligence,B
Computation and Language,Cryptography and Security,Systems and Control,A
Computation and Language,Digital Libraries,Computational Complexity,B
Computation and Language,Digital Libraries,Machine Learning,B
Computation and Language,Digital Libraries,Robotics,B
Computation and Language,Discrete Mathematics,Computational Geometry,B
Computation and Language,Discrete Mathematics,Machine Learning,B
Computation and Language,Discrete Mathematics,Systems and Control,B
Computation and Language,Formal Languages and Automata Theory,Symbolic Computation,A
Computation and Language,Formal Languages and Automata Theory,Systems and Control,A
Computation and Language,Graphics,Computer Science and Game Theory,B
Computation and Language,Graphics,Logic in Computer Science,B
Computation and Language,Hardware Architecture,Computer Vision and Pattern Recognition,B
Computation and Language,Human-Computer Interaction,Systems and Control,A
Computation and Language,Machine Learning,Mathematical Software,A
Computation and Language,Machine Learning,Networking and Internet Architecture,A
Computation and Language,Multiagent Systems,Information Theory,B
Computation and Language,Multiagent Systems,Mathematical Software,A
Computation and Language,Multimedia,Computer Vision and Pattern Recognition,B
Computation and Language,Operating Systems,Cryptography and Security,B
Computation and Language,Robotics,Cryptography and Security,A
Computation and Language,Robotics,Numerical Analysis,A
Computation and Language,Software Engineering,Computer Vision and Pattern Recognition,B
Computation and Language,Software Engineering,Systems and Control,B
Computation and Language,Sound,Information Retrieval,B
Computational Complexity,Computation and Language,Artificial Intelligence,B
Computational Complexity,Computation and Language,Formal Languages and Automata Theory,B
Computational Complexity,Computation and Language,Information Theory,B
Computational Complexity,Cryptography and Security,Mathematical Software,A
Computational Complexity,Databases,Robotics,B
Computational Complexity,Digital Libraries,Computational Geometry,B
Computational Complexity,Digital Libraries,Information Retrieval,B
Computational Complexity,Digital Libraries,Multiagent Systems,B
Computational Complexity,Digital Libraries,Networking and Internet Architecture,B
Computational Complexity,Digital Libraries,Numerical Analysis,B
Computational Complexity,Discrete Mathematics,Artificial Intelligence,B
Computational Complexity,Discrete Mathematics,Computational Geometry,B
Computational Complexity,Discrete Mathematics,Sound,A
Computational Complexity,"Distributed, Parallel, and Cluster Computing",Software Engineering,A
Computational Complexity,Formal Languages and Automata Theory,Information Retrieval,A
Computational Complexity,Graphics,Artificial Intelligence,B
Computational Complexity,Human-Computer Interaction,Graphics,A
Computational Complexity,Human-Computer Interaction,Numerical Analysis,B
Computational Complexity,Information Theory,Cryptography and Security,A
Computational Complexity,Machine Learning,Information Theory,B
Computational Complexity,Multiagent Systems,Computation and Language,B
Computational Complexity,Multiagent Systems,Cryptography and Security,B
Computational Complexity,Multiagent Systems,Formal Languages and Automata Theory,B
Computational Complexity,Multimedia,Graphics,B
Computational Complexity,Multimedia,Information Retrieval,B
Computational Complexity,Operating Systems,Cryptography and Security,B
Computational Complexity,Operating Systems,Mathematical Software,B
Computational Complexity,Programming Languages,Human-Computer Interaction,B
Computational Complexity,Programming Languages,Information Retrieval,B
Computational Complexity,Software Engineering,Networking and Internet Architecture,B
Computational Complexity,Sound,Symbolic Computation,B
Computational Complexity,Systems and Control,Symbolic Computation,B
Computational Geometry,Computation and Language,Information Retrieval,B
Computational Geometry,Computation and Language,Information Theory,B
Computational Geometry,Computer Science and Game Theory,Networking and Internet Architecture,A
Computational Geometry,Databases,Sound,A
Computational Geometry,Digital Libraries,Computation and Language,B
Computational Geometry,Digital Libraries,Information Theory,B
Computational Geometry,Digital Libraries,Networking and Internet Architecture,B
Computational Geometry,Digital Libraries,Operating Systems,A
Computational Geometry,Discrete Mathematics,Mathematical Software,A
Computational Geometry,"Distributed, Parallel, and Cluster Computing",Cryptography and Security,B
Computational Geometry,Formal Languages and Automata Theory,Information Theory,B
Computational Geometry,Hardware Architecture,Graphics,B
Computational Geometry,Hardware Architecture,Networking and Internet Architecture,B
Computational Geometry,Machine Learning,Information Theory,B
Computational Geometry,Machine Learning,Networking and Internet Architecture,B
Computational Geometry,Multimedia,Computer Vision and Pattern Recognition,B
Computational Geometry,Multimedia,Networking and Internet Architecture,B
Computational Geometry,Multimedia,Symbolic Computation,B
Computational Geometry,Numerical Analysis,Artificial Intelligence,A
Computational Geometry,Operating Systems,Computer Vision and Pattern Recognition,B
Computational Geometry,Programming Languages,Artificial Intelligence,B
Computational Geometry,Robotics,Cryptography and Security,B
Computational Geometry,Robotics,Mathematical Software,A
Computational Geometry,Robotics,Numerical Analysis,0
Computational Geometry,Software Engineering,Numerical Analysis,A
Computational Geometry,Software Engineering,Symbolic Computation,B
Computational Geometry,Software Engineering,Systems and Control,B
Computer Science and Game Theory,Computation and Language,Software Engineering,A
Computer Science and Game Theory,Computational Complexity,Information Retrieval,A
Computer Science and Game Theory,Computational Complexity,Numerical Analysis,A
Computer Science and Game Theory,Computational Geometry,Logic in Computer Science,B
Computer Science and Game Theory,Computational Geometry,Multimedia,0
Computer Science and Game Theory,Computational Geometry,Systems and Control,0
Computer Science and Game Theory,Computer Vision and Pattern Recognition,Computational Complexity,B
Computer Science and Game Theory,Cryptography and Security,Numerical Analysis,B
Computer Science and Game Theory,Databases,Discrete Mathematics,B
Computer Science and Game Theory,Databases,Information Theory,B
Computer Science and Game Theory,Databases,Symbolic Computation,0
Computer Science and Game Theory,Digital Libraries,Information Retrieval,0
Computer Science and Game Theory,Discrete Mathematics,Information Theory,A
Computer Science and Game Theory,Discrete Mathematics,Systems and Control,A
Computer Science and Game Theory,Hardware Architecture,Systems and Control,0
Computer Science and Game Theory,Human-Computer Interaction,Multimedia,0
Computer Science and Game Theory,Information Theory,Information Retrieval,A
Computer Science and Game Theory,Mathematical Software,Computational Complexity,0
Computer Science and Game Theory,Multiagent Systems,Software Engineering,0
Computer Science and Game Theory,Operating Systems,Computational Complexity,B
Computer Science and Game Theory,Operating Systems,Computational Geometry,B
Computer Science and Game Theory,Operating Systems,Graphics,0
Computer Science and Game Theory,Programming Languages,Artificial Intelligence,B
Computer Science and Game Theory,Programming Languages,Computational Geometry,0
Computer Science and Game Theory,Programming Languages,Information Retrieval,0
Computer Science and Game Theory,Programming Languages,Robotics,B
Computer Science and Game Theory,Robotics,Computational Geometry,A
Computer Science and Game Theory,Robotics,Operating Systems,A
Computer Science and Game Theory,Software Engineering,Networking and Internet Architecture,B
Computer Vision and Pattern Recognition,Computation and Language,Logic in Computer Science,A
Computer Vision and Pattern Recognition,Computation and Language,Sound,A
Computer Vision and Pattern Recognition,Computational Geometry,Symbolic Computation,B
Computer Vision and Pattern Recognition,Databases,Discrete Mathematics,B
Computer Vision and Pattern Recognition,Databases,Formal Languages and Automata Theory,B
Computer Vision and Pattern Recognition,Digital Libraries,Multimedia,B
Computer Vision and Pattern Recognition,Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",B
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Computation and Language,B
Computer Vision and Pattern Recognition,"Distributed, Parallel, and Cluster Computing",Multimedia,B
Computer Vision and Pattern Recognition,Formal Languages and Automata Theory,Computer Science and Game Theory,A
Computer Vision and Pattern Recognition,Graphics,Networking and Internet Architecture,A
Computer Vision and Pattern Recognition,Hardware Architecture,Computation and Language,B
Computer Vision and Pattern Recognition,Hardware Architecture,Cryptography and Security,B
Computer Vision and Pattern Recognition,Hardware Architecture,Information Retrieval,B
Computer Vision and Pattern Recognition,Hardware Architecture,Machine Learning,B
Computer Vision and Pattern Recognition,Hardware Architecture,Systems and Control,0
Computer Vision and Pattern Recognition,Human-Computer Interaction,Information Theory,A
Computer Vision and Pattern Recognition,Human-Computer Interaction,Mathematical Software,A
Computer Vision and Pattern Recognition,Human-Computer Interaction,Software Engineering,A
Computer Vision and Pattern Recognition,Logic in Computer Science,Numerical Analysis,A
Computer Vision and Pattern Recognition,Machine Learning,Computational Geometry,A
Computer Vision and Pattern Recognition,Mathematical Software,Artificial Intelligence,B
Computer Vision and Pattern Recognition,Multiagent Systems,Formal Languages and Automata Theory,B
Computer Vision and Pattern Recognition,Multiagent Systems,Numerical Analysis,B
Computer Vision and Pattern Recognition,Multiagent Systems,Robotics,B
Computer Vision and Pattern Recognition,Operating Systems,Computer Science and Game Theory,B
Computer Vision and Pattern Recognition,Operating Systems,Graphics,B
Computer Vision and Pattern Recognition,Operating Systems,Machine Learning,B
Computer Vision and Pattern Recognition,Operating Systems,Systems and Control,0
Computer Vision and Pattern Recognition,Programming Languages,Machine Learning,B
Computer Vision and Pattern Recognition,Programming Languages,Sound,A
Computer Vision and Pattern Recognition,Robotics,Graphics,A
Computer Vision and Pattern Recognition,Robotics,Information Theory,A
Computer Vision and Pattern Recognition,Software Engineering,Multimedia,0
Computer Vision and Pattern Recognition,Software Engineering,Systems and Control,0
Computer Vision and Pattern Recognition,Sound,Numerical Analysis,B
Computer Vision and Pattern Recognition,Sound,Symbolic Computation,B
Computer Vision and Pattern Recognition,Systems and Control,Information Retrieval,B
Cryptography and Security,Computational Geometry,Graphics,0
Cryptography and Security,Computer Vision and Pattern Recognition,Artificial Intelligence,B
Cryptography and Security,Databases,Computational Geometry,A
Cryptography and Security,Databases,Graphics,A
Cryptography and Security,Digital Libraries,Discrete Mathematics,0
Cryptography and Security,Digital Libraries,Information Theory,B
Cryptography and Security,Discrete Mathematics,Machine Learning,B
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Formal Languages and Automata Theory,A
Cryptography and Security,"Distributed, Parallel, and Cluster Computing",Symbolic Computation,A
Cryptography and Security,Formal Languages and Automata Theory,Artificial Intelligence,B
Cryptography and Security,Formal Languages and Automata Theory,Computational Geometry,A
Cryptography and Security,Graphics,Mathematical Software,0
Cryptography and Security,Hardware Architecture,Artificial Intelligence,B
Cryptography and Security,Hardware Architecture,Systems and Control,0
Cryptography and Security,Human-Computer Interaction,Computational Complexity,B
Cryptography and Security,Human-Computer Interaction,Systems and Control,0
Cryptography and Security,Information Theory,Computer Vision and Pattern Recognition,A
Cryptography and Security,Logic in Computer Science,Information Retrieval,A
Cryptography and Security,Logic in Computer Science,Symbolic Computation,A
Cryptography and Security,Mathematical Software,Computer Vision and Pattern Recognition,0
Cryptography and Security,Mathematical Software,Symbolic Computation,0
Cryptography and Security,Multiagent Systems,Discrete Mathematics,A
Cryptography and Security,Multiagent Systems,Human-Computer Interaction,A
Cryptography and Security,Multimedia,Artificial Intelligence,B
Cryptography and Security,Multimedia,Computational Complexity,B
Cryptography and Security,Multimedia,Mathematical Software,0
Cryptography and Security,Multimedia,Symbolic Computation,0
Cryptography and Security,Networking and Internet Architecture,Symbolic Computation,A
Cryptography and Security,Operating Systems,Machine Learning,B
Cryptography and Security,Programming Languages,Machine Learning,B
Cryptography and Security,Programming Languages,Operating Systems,B
Cryptography and Security,Robotics,Formal Languages and Automata Theory,B
Cryptography and Security,Robotics,Software Engineering,B
Cryptography and Security,Robotics,Symbolic Computation,B
Cryptography and Security,Software Engineering,Artificial Intelligence,B
Cryptography and Security,Software Engineering,Information Theory,B
Cryptography and Security,Sound,Computational Complexity,B
Cryptography and Security,Sound,Numerical Analysis,B
Databases,Computation and Language,Information Retrieval,B
Databases,Computer Science and Game Theory,Information Retrieval,B
Databases,Digital Libraries,Computational Geometry,A
Databases,Discrete Mathematics,Computer Vision and Pattern Recognition,0
Databases,Discrete Mathematics,"Distributed, Parallel, and Cluster Computing",0
Databases,"Distributed, Parallel, and Cluster Computing",Artificial Intelligence,A
Databases,"Distributed, Parallel, and Cluster Computing",Computer Vision and Pattern Recognition,A
Databases,"Distributed, Parallel, and Cluster Computing",Machine Learning,A
Databases,Formal Languages and Automata Theory,Computational Geometry,0
Databases,Formal Languages and Automata Theory,Computer Science and Game Theory,B
Databases,Formal Languages and Automata Theory,Mathematical Software,B
Databases,Formal Languages and Automata Theory,Multimedia,B
Databases,Formal Languages and Automata Theory,Software Engineering,B
Databases,Graphics,Computational Complexity,A
Databases,Graphics,Computer Vision and Pattern Recognition,A
Databases,Graphics,Logic in Computer Science,A
Databases,Hardware Architecture,Computational Complexity,B
Databases,Hardware Architecture,Mathematical Software,B
Databases,Hardware Architecture,Sound,0
Databases,Human-Computer Interaction,Machine Learning,B
Databases,Human-Computer Interaction,Multimedia,B
Databases,Human-Computer Interaction,Software Engineering,B
Databases,Information Theory,Computer Vision and Pattern Recognition,A
Databases,Machine Learning,Formal Languages and Automata Theory,A
Databases,Machine Learning,Networking and Internet Architecture,A
Databases,Programming Languages,Cryptography and Security,B
Databases,Programming Languages,Symbolic Computation,0
Databases,Robotics,Computational Complexity,B
Databases,Software Engineering,Artificial Intelligence,A
Databases,Software Engineering,Cryptography and Security,A
Databases,Software Engineering,Graphics,A
Databases,Software Engineering,Logic in Computer Science,A
Databases,Sound,Logic in Computer Science,A
Databases,Sound,Networking and Internet Architecture,B
Databases,Systems and Control,Symbolic Computation,A
Digital Libraries,Artificial Intelligence,Networking and Internet Architecture,B
Digital Libraries,Computation and Language,Graphics,B
