id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;0.99999976;0.7199817;0.7372493;0.7806338;0.7386647;0.76289314;0.8768503;0.41329396;0.68215495;0.6422053;0.8100111;0.69019073;0.6955456;0.7978524;0.7411848;0.8311446;0.7764158;0.8801556;0.7835725;0.82417727;0.6744138;0.77927464;0.7217769;0.7535877;0.6760483;0.67957157;0.7983624;0.72166604;0.7350315;0.8129754;0.7889755
cs.AR;0.7199817;1.0000001;0.7654816;0.6666948;0.64003277;0.58277357;0.6633514;0.36132827;0.62248147;0.5355491;0.5519339;0.5234151;0.6145242;0.5704237;0.61405236;0.6411071;0.637494;0.6416896;0.6048217;0.6708208;0.5695748;0.6358905;0.67672104;0.6853562;0.75454533;0.6471953;0.66579276;0.6180339;0.65992635;0.6971258;0.6572808
cs.CC;0.7372493;0.7654816;0.99999994;0.7968382;0.7389893;0.63252693;0.69858825;0.36757615;0.6333105;0.551903;0.67515594;0.5978908;0.60563624;0.61992395;0.6283218;0.6948508;0.7106604;0.70386416;0.6544477;0.666575;0.6054771;0.7192532;0.7867112;0.64937705;0.6393171;0.6082711;0.66764617;0.74611545;0.6726879;0.6656521;0.6258838
cs.CG;0.7806338;0.6666948;0.7968382;0.99999994;0.7785654;0.69445616;0.760683;0.37325442;0.67043346;0.5736264;0.8045465;0.66455334;0.66652805;0.68419206;0.6461944;0.713493;0.69413626;0.7573081;0.6978533;0.6964377;0.631321;0.8009341;0.81494516;0.704957;0.6047276;0.6045048;0.7237686;0.77744114;0.684155;0.7041441;0.7163377
cs.CL;0.7386647;0.64003277;0.7389893;0.7785654;1.0000004;0.73805255;0.73188186;0.34697938;0.6491936;0.5418457;0.766489;0.7515476;0.55469304;0.77577215;0.61863154;0.66117805;0.70164007;0.7110027;0.78393364;0.67972106;0.55797637;0.7529345;0.71027225;0.71099794;0.6216515;0.7048136;0.6384307;0.7541146;0.59726834;0.6714102;0.71148854
cs.CR;0.76289314;0.58277357;0.63252693;0.69445616;0.73805255;1.0000002;0.8014922;0.37911096;0.66174024;0.61221135;0.72386754;0.82803285;0.56250536;0.8018695;0.6720879;0.7259199;0.7209494;0.7246472;0.7209946;0.66698265;0.60524523;0.6814707;0.6659984;0.85495174;0.5862142;0.6616961;0.71876967;0.63262457;0.60854465;0.7184855;0.7980856
cs.CV;0.8768503;0.6633514;0.69858825;0.760683;0.73188186;0.8014922;0.9999995;0.40201977;0.68538433;0.63158613;0.78639877;0.7427125;0.66707873;0.8361193;0.77652335;0.7849891;0.73087;0.85598326;0.803549;0.74784887;0.67667156;0.7416435;0.69980735;0.7655742;0.6234366;0.68806136;0.74144834;0.71832323;0.7173421;0.80489975;0.81533533
cs.DB;0.41329396;0.36132827;0.36757615;0.37325442;0.34697938;0.37911096;0.40201977;1.0000001;0.43079555;0.64323306;0.3598939;0.34658867;0.43500853;0.3285544;0.5415031;0.42083082;0.3902828;0.363391;0.3461499;0.35805517;0.7594592;0.43562132;0.3824673;0.51094735;0.38240254;0.43051046;0.48460442;0.36406064;0.56722885;0.35710794;0.3757927
cs.DC;0.68215495;0.62248147;0.6333105;0.67043346;0.6491936;0.66174024;0.68538433;0.43079555;1.0000005;0.56914437;0.61240506;0.6191339;0.47102648;0.6493888;0.75197744;0.6507006;0.6462825;0.67508507;0.61154836;0.66538936;0.5792012;0.66509515;0.61618525;0.7363764;0.643901;0.62405777;0.5679875;0.629702;0.5321002;0.6062271;0.6674017
cs.DL;0.6422053;0.5355491;0.551903;0.5736264;0.5418457;0.61221135;0.63158613;0.64323306;0.56914437;0.9999998;0.5966787;0.5220685;0.6505248;0.5500167;0.6190498;0.6540663;0.5782974;0.58140063;0.55760616;0.55834454;0.7626693;0.6580459;0.57184595;0.6831229;0.561544;0.62578154;0.7011362;0.56362575;0.6416694;0.58842915;0.5999042
cs.DM;0.8100111;0.5519339;0.67515594;0.8045465;0.766489;0.72386754;0.78639877;0.3598939;0.61240506;0.5966787;1.0000001;0.7705377;0.60757494;0.79722023;0.59386396;0.72289664;0.6989156;0.7659719;0.8196654;0.7159465;0.606834;0.78975207;0.69472075;0.64581645;0.5622829;0.66841465;0.67006534;0.76777655;0.624744;0.7191687;0.7398194
cs.FL;0.69019073;0.5234151;0.5978908;0.66455334;0.7515476;0.82803285;0.7427125;0.34658867;0.6191339;0.5220685;0.7705377;1.0000007;0.4958446;0.82059544;0.6233212;0.6523858;0.6805166;0.686587;0.8253055;0.67671376;0.5138763;0.6454375;0.58726954;0.73274326;0.576929;0.72105736;0.6094803;0.6619941;0.5289562;0.6638878;0.7416882
cs.GR;0.6955456;0.6145242;0.60563624;0.66652805;0.55469304;0.56250536;0.66707873;0.43500853;0.47102648;0.6505248;0.60757494;0.4958446;0.9999999;0.5426134;0.56537837;0.66604984;0.5809553;0.61218274;0.56949234;0.5991921;0.68266565;0.6525247;0.65461856;0.5898336;0.5680511;0.5601673;0.7918505;0.5998521;0.77108914;0.6135719;0.6167513
cs.GT;0.7978524;0.5704237;0.61992395;0.68419206;0.77577215;0.8018695;0.8361193;0.3285544;0.6493888;0.5500167;0.79722023;0.82059544;0.5426134;0.9999998;0.68485653;0.7124056;0.74355984;0.7689313;0.878022;0.75556594;0.54211414;0.7102114;0.6345859;0.7087039;0.61185324;0.708552;0.64346266;0.6867239;0.5492691;0.7534336;0.76763666
cs.HC;0.7411848;0.61405236;0.6283218;0.6461944;0.61863154;0.6720879;0.77652335;0.5415031;0.75197744;0.6190498;0.59386396;0.6233212;0.56537837;0.68485653;1.0000002;0.69161415;0.67025405;0.69740367;0.6376747;0.7056997;0.6858084;0.65955365;0.62146705;0.7669389;0.5793899;0.6187975;0.6398897;0.6147525;0.65609866;0.6547282;0.6863408
cs.IR;0.8311446;0.6411071;0.6948508;0.713493;0.66117805;0.7259199;0.7849891;0.42083082;0.6507006;0.6540663;0.72289664;0.6523858;0.66604984;0.7124056;0.69161415;1.0;0.841194;0.7864779;0.7096875;0.74519086;0.6634761;0.69918925;0.6640191;0.7113785;0.6432206;0.6427443;0.75623935;0.68793446;0.6598585;0.7567102;0.70899355
cs.IT;0.7764158;0.637494;0.7106604;0.69413626;0.70164007;0.7209494;0.73087;0.3902828;0.6462825;0.5782974;0.6989156;0.6805166;0.5809553;0.74355984;0.67025405;0.841194;0.99999976;0.7540356;0.7220214;0.7288197;0.6131818;0.6916977;0.65036184;0.7087354;0.6531926;0.6397167;0.6659251;0.700073;0.61094;0.7007169;0.664718
cs.LG;0.8801556;0.6416896;0.70386416;0.7573081;0.7110027;0.7246472;0.85598326;0.363391;0.67508507;0.58140063;0.7659719;0.686587;0.61218274;0.7689313;0.69740367;0.7864779;0.7540356;0.9999999;0.7649995;0.76520866;0.6091138;0.7073198;0.6577277;0.6982077;0.6269231;0.67238104;0.71252716;0.71788263;0.6414076;0.7749537;0.7420621
cs.LO;0.7835725;0.6048217;0.6544477;0.6978533;0.78393364;0.7209946;0.803549;0.3461499;0.61154836;0.55760616;0.8196654;0.8253055;0.56949234;0.878022;0.6376747;0.7096875;0.7220214;0.7649995;1.0000001;0.71524704;0.56573725;0.7103796;0.6216618;0.6632608;0.6157075;0.7547992;0.6614561;0.748473;0.5951958;0.77168477;0.69803995
cs.MA;0.82417727;0.6708208;0.666575;0.6964377;0.67972106;0.66698265;0.74784887;0.35805517;0.66538936;0.55834454;0.7159465;0.67671376;0.5991921;0.75556594;0.7056997;0.74519086;0.7288197;0.76520866;0.71524704;0.9999997;0.5701653;0.67765594;0.6794667;0.6861102;0.6708922;0.6623343;0.65471566;0.6849868;0.5863663;0.72609097;0.7836348
cs.MM;0.6744138;0.5695748;0.6054771;0.631321;0.55797637;0.60524523;0.67667156;0.7594592;0.5792012;0.7626693;0.606834;0.5138763;0.68266565;0.54211414;0.6858084;0.6634761;0.6131818;0.6091138;0.56573725;0.5701653;1.0000001;0.6716268;0.6273877;0.70114875;0.5577797;0.58727455;0.7293622;0.6124815;0.8034755;0.6068216;0.5892894
cs.MS;0.77927464;0.6358905;0.7192532;0.8009341;0.7529345;0.6814707;0.7416435;0.43562132;0.66509515;0.6580459;0.78975207;0.6454375;0.6525247;0.7102114;0.65955365;0.69918925;0.6916977;0.7073198;0.7103796;0.67765594;0.6716268;0.99999964;0.774782;0.72963154;0.6378238;0.681507;0.69136214;0.78451365;0.69489443;0.6968819;0.7264043
cs.NA;0.7217769;0.67672104;0.7867112;0.81494516;0.71027225;0.6659984;0.69980735;0.3824673;0.61618525;0.57184595;0.69472075;0.58726954;0.65461856;0.6345859;0.62146705;0.6640191;0.65036184;0.6577277;0.6216618;0.6794667;0.6273877;0.774782;0.9999998;0.69389766;0.56390285;0.5454831;0.6864108;0.76308733;0.6818667;0.6465275;0.70528924
cs.NI;0.7535877;0.6853562;0.64937705;0.704957;0.71099794;0.85495174;0.7655742;0.51094735;0.7363764;0.6831229;0.64581645;0.73274326;0.5898336;0.7087039;0.7669389;0.7113785;0.7087354;0.6982077;0.6632608;0.6861102;0.70114875;0.72963154;0.69389766;1.0000002;0.6723098;0.68640274;0.7435257;0.6442326;0.67790943;0.6963407;0.7766523
cs.OS;0.6760483;0.75454533;0.6393171;0.6047276;0.6216515;0.5862142;0.6234366;0.38240254;0.643901;0.561544;0.5622829;0.576929;0.5680511;0.61185324;0.5793899;0.6432206;0.6531926;0.6269231;0.6157075;0.6708922;0.5577797;0.6378238;0.56390285;0.6723098;1.0000001;0.77925915;0.60622036;0.59117067;0.5825306;0.68094;0.65305233
cs.PL;0.67957157;0.6471953;0.6082711;0.6045048;0.7048136;0.6616961;0.68806136;0.43051046;0.62405777;0.62578154;0.66841465;0.72105736;0.5601673;0.708552;0.6187975;0.6427443;0.6397167;0.67238104;0.7547992;0.6623343;0.58727455;0.681507;0.5454831;0.68640274;0.77925915;1.0000001;0.6107403;0.6398062;0.55004966;0.7531855;0.66035634
cs.RO;0.7983624;0.66579276;0.66764617;0.7237686;0.6384307;0.71876967;0.74144834;0.48460442;0.5679875;0.7011362;0.67006534;0.6094803;0.7918505;0.64346266;0.6398897;0.75623935;0.6659251;0.71252716;0.6614561;0.65471566;0.7293622;0.69136214;0.6864108;0.7435257;0.60622036;0.6107403;0.99999976;0.6315972;0.8059308;0.7083824;0.6796036
cs.SC;0.72166604;0.6180339;0.74611545;0.77744114;0.7541146;0.63262457;0.71832323;0.36406064;0.629702;0.56362575;0.76777655;0.6619941;0.5998521;0.6867239;0.6147525;0.68793446;0.700073;0.71788263;0.748473;0.6849868;0.6124815;0.78451365;0.76308733;0.6442326;0.59117067;0.6398062;0.6315972;1.0000004;0.621355;0.6908665;0.67811763
cs.SD;0.7350315;0.65992635;0.6726879;0.684155;0.59726834;0.60854465;0.7173421;0.56722885;0.5321002;0.6416694;0.624744;0.5289562;0.77108914;0.5492691;0.65609866;0.6598585;0.61094;0.6414076;0.5951958;0.5863663;0.8034755;0.69489443;0.6818667;0.67790943;0.5825306;0.55004966;0.8059308;0.621355;0.99999994;0.6224034;0.6249472
cs.SE;0.8129754;0.6971258;0.6656521;0.7041441;0.6714102;0.7184855;0.80489975;0.35710794;0.6062271;0.58842915;0.7191687;0.6638878;0.6135719;0.7534336;0.6547282;0.7567102;0.7007169;0.7749537;0.77168477;0.72609097;0.6068216;0.6968819;0.6465275;0.6963407;0.68094;0.7531855;0.7083824;0.6908665;0.6224034;1.0000001;0.7339216
cs.SY;0.7889755;0.6572808;0.6258838;0.7163377;0.71148854;0.7980856;0.81533533;0.3757927;0.6674017;0.5999042;0.7398194;0.7416882;0.6167513;0.76763666;0.6863408;0.70899355;0.664718;0.7420621;0.69803995;0.7836348;0.5892894;0.7264043;0.70528924;0.7766523;0.65305233;0.66035634;0.6796036;0.67811763;0.6249472;0.7339216;0.9999999
