id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000002;0.87104154;0.90608084;0.91693974;0.8867855;0.89207065;0.8995459;0.8619636;0.873873;0.96221817;0.90202904;0.88037074;0.8600011;0.84600466;0.9104001;0.48351535;0.9069669;0.9520617;0.91869247;0.86667407;0.8774063;0.8797654;0.8997996;0.851387;0.85129535;0.88449633;0.76730645;0.9039266;0.8668272;0.8719013;0.98496413
cs.AR;0.87104154;1.0;0.98320085;0.9786174;0.989715;0.98679256;0.98820376;0.99252963;0.99421644;0.94911397;0.9918475;0.9924017;0.9941292;0.98957235;0.9743819;0.7628883;0.9831619;0.96091866;0.9831452;0.9950688;0.99274933;0.9963334;0.9879332;0.9941586;0.99349624;0.9898084;0.9634733;0.9905694;0.9917026;0.9908706;0.9273552
cs.CC;0.90608084;0.98320085;0.9999999;0.9911741;0.9928599;0.9880442;0.9889116;0.9724234;0.9894726;0.97302073;0.9872209;0.98976135;0.97600806;0.97942436;0.99260086;0.70600486;0.99386096;0.979102;0.99052554;0.9839471;0.983367;0.9806724;0.9930342;0.9808594;0.97613037;0.9887223;0.9321105;0.99492645;0.9754089;0.9854874;0.9533238
cs.CG;0.91693974;0.9786174;0.9911741;0.99999964;0.9882299;0.9923358;0.9914793;0.97529376;0.98450315;0.980055;0.98839164;0.9870555;0.97565997;0.97513366;0.98726714;0.6983962;0.995512;0.9837905;0.9938643;0.9796767;0.9828966;0.9807112;0.9947545;0.9759742;0.9726326;0.99098;0.92763925;0.99526227;0.9743581;0.9843043;0.9625249
cs.CL;0.8867855;0.989715;0.9928599;0.9882299;1.0;0.9921851;0.99361825;0.9824929;0.9945772;0.9625825;0.9896877;0.99500084;0.9860251;0.98866725;0.989208;0.7435833;0.99212605;0.968923;0.98987293;0.9900946;0.98831475;0.98844385;0.99466485;0.98997116;0.98502976;0.9939208;0.95001495;0.99496675;0.9847388;0.9915534;0.9410491
cs.CR;0.89207065;0.98679256;0.9880442;0.9923358;0.9921851;0.9999999;0.9954778;0.98403394;0.990834;0.9652776;0.9892396;0.9897429;0.98468304;0.98414665;0.9821862;0.7432451;0.9913732;0.9722645;0.99017525;0.9877012;0.9869137;0.9870819;0.9940011;0.9864274;0.98370737;0.99391294;0.9494139;0.9939502;0.98430014;0.9907658;0.94625825
cs.CV;0.8995459;0.98820376;0.9889116;0.9914793;0.99361825;0.9954778;1.0;0.98442376;0.99184823;0.96837693;0.9917251;0.9908618;0.98494595;0.98237777;0.9862292;0.72945637;0.9904218;0.9759327;0.99205065;0.98854536;0.9879024;0.98898447;0.99363494;0.9852597;0.9834778;0.9929714;0.9424528;0.9948174;0.9857956;0.9895932;0.94936574
cs.DB;0.8619636;0.99252963;0.9724234;0.97529376;0.9824929;0.98403394;0.98442376;1.0;0.987785;0.9420699;0.9870789;0.9866843;0.9928733;0.98593485;0.96585435;0.7861501;0.97686434;0.95155287;0.97689766;0.988669;0.9895777;0.9922319;0.98411965;0.9887091;0.9900272;0.9863624;0.9665997;0.9843228;0.9883833;0.9864417;0.9179355
cs.DC;0.873873;0.99421644;0.9894726;0.98450315;0.9945772;0.990834;0.99184823;0.987785;0.99999976;0.9544736;0.98902154;0.9943926;0.9899324;0.9920995;0.9816669;0.76490283;0.98810464;0.96246755;0.9855421;0.9940785;0.9905579;0.99183154;0.99216855;0.9943236;0.99058974;0.99429524;0.96132106;0.9930111;0.9879482;0.9942019;0.9304458
cs.DL;0.96221817;0.94911397;0.97302073;0.980055;0.9625825;0.9652776;0.96837693;0.9420699;0.9544736;0.99999976;0.96851236;0.9580889;0.941224;0.93438745;0.9738198;0.60580647;0.9746065;0.99272406;0.9800022;0.94880337;0.95723414;0.95454884;0.9709394;0.9374713;0.9348756;0.96149355;0.86739266;0.9728482;0.94506216;0.9541434;0.98862934
cs.DM;0.90202904;0.9918475;0.9872209;0.98839164;0.9896877;0.9892396;0.9917251;0.9870789;0.98902154;0.96851236;1.0000002;0.991683;0.98815143;0.98166126;0.980335;0.7179126;0.98955584;0.9784782;0.99358416;0.9872029;0.99043155;0.99435365;0.9912768;0.9834851;0.9833781;0.9899868;0.94130373;0.9940213;0.9875649;0.98663366;0.9496281
cs.FL;0.88037074;0.9924017;0.98976135;0.9870555;0.99500084;0.9897429;0.9908618;0.9866843;0.9943926;0.9580889;0.991683;1.0;0.98828804;0.9920914;0.9847063;0.7524673;0.99374616;0.96564245;0.98927104;0.9902514;0.99132705;0.99185294;0.9940189;0.9920609;0.9864823;0.99437815;0.9528154;0.99382603;0.98604965;0.98995864;0.93489444
cs.GR;0.8600011;0.9941292;0.97600806;0.97565997;0.9860251;0.98468304;0.98494595;0.9928733;0.9899324;0.941224;0.98815143;0.98828804;0.99999994;0.98921156;0.96932495;0.78273964;0.97900665;0.95237577;0.97762644;0.99391705;0.9937635;0.993537;0.9835212;0.9915514;0.9947835;0.98832774;0.97410613;0.9853493;0.9951327;0.9916781;0.9179338
cs.GT;0.84600466;0.98957235;0.97942436;0.97513366;0.98866725;0.98414665;0.98237777;0.98593485;0.9920995;0.93438745;0.98166126;0.9920914;0.98921156;0.9999999;0.97074974;0.7995635;0.9823139;0.94307566;0.9757811;0.99048376;0.98741;0.98646575;0.9857073;0.9940084;0.9906034;0.9904312;0.9760854;0.98393726;0.9848616;0.9918077;0.9077537
cs.HC;0.9104001;0.9743819;0.99260086;0.98726714;0.989208;0.9821862;0.9862292;0.96585435;0.9816669;0.9738198;0.980335;0.9847063;0.96932495;0.97074974;1.0000002;0.6928358;0.9888922;0.97517186;0.98503554;0.9759151;0.9789425;0.97197646;0.9874767;0.9741729;0.9679512;0.9821774;0.9213388;0.9884171;0.96865153;0.97728896;0.9538423
cs.IR;0.48351535;0.7628883;0.70600486;0.6983962;0.7435833;0.7432451;0.72945637;0.7861501;0.76490283;0.60580647;0.7179126;0.7524673;0.78273964;0.7995635;0.6928358;0.9999997;0.7129907;0.6144876;0.6917101;0.76624054;0.74529153;0.7521318;0.7326124;0.7881739;0.7992252;0.7476252;0.87007815;0.71966636;0.76990825;0.7705851;0.56577665
cs.IT;0.9069669;0.9831619;0.99386096;0.995512;0.99212605;0.9913732;0.9904218;0.97686434;0.98810464;0.9746065;0.98955584;0.99374616;0.97900665;0.9823139;0.9888922;0.7129907;0.99999976;0.9808131;0.99476534;0.9831712;0.9861553;0.9842045;0.99614704;0.98185617;0.9760056;0.9936641;0.9351521;0.99535996;0.9777137;0.9861452;0.9558492
cs.LG;0.9520617;0.96091866;0.979102;0.9837905;0.968923;0.9722645;0.9759327;0.95155287;0.96246755;0.99272406;0.9784782;0.96564245;0.95237577;0.94307566;0.97517186;0.6144876;0.9808131;0.9999998;0.9877506;0.95879745;0.96613544;0.9659498;0.97630376;0.9476135;0.9445778;0.9693475;0.8815619;0.9803821;0.9576499;0.96050847;0.98448867
cs.LO;0.91869247;0.9831452;0.99052554;0.9938643;0.98987293;0.99017525;0.99205065;0.97689766;0.9855421;0.9800022;0.99358416;0.98927104;0.97762644;0.9757811;0.98503554;0.6917101;0.99476534;0.9877506;0.9999999;0.9807596;0.98353124;0.98671865;0.99325764;0.97678494;0.97261;0.98983026;0.92581916;0.99435806;0.97955257;0.98381966;0.9632673
cs.MA;0.86667407;0.9950688;0.9839471;0.9796767;0.9900946;0.9877012;0.98854536;0.988669;0.9940785;0.94880337;0.9872029;0.9902514;0.99391705;0.99048376;0.9759151;0.76624054;0.9831712;0.95879745;0.9807596;0.9999999;0.9941245;0.99216664;0.98739123;0.99340534;0.9953542;0.9913168;0.96772146;0.9900129;0.9920036;0.99443346;0.9253527
cs.MM;0.8774063;0.99274933;0.983367;0.9828966;0.98831475;0.9869137;0.9879024;0.9895777;0.9905579;0.95723414;0.99043155;0.99132705;0.9937635;0.98741;0.9789425;0.74529153;0.9861553;0.96613544;0.98353124;0.9941245;1.0000001;0.9917706;0.98748624;0.9906137;0.9880816;0.99053293;0.95851433;0.9902877;0.99142873;0.990556;0.9331353
cs.MS;0.8797654;0.9963334;0.9806724;0.9807112;0.98844385;0.9870819;0.98898447;0.9922319;0.99183154;0.95454884;0.99435365;0.99185294;0.993537;0.98646575;0.97197646;0.7521318;0.9842045;0.9659498;0.98671865;0.99216664;0.9917706;1.0000001;0.98803794;0.988924;0.9899398;0.99003464;0.95663464;0.99036956;0.9933694;0.98872817;0.93399465
