id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0;0.47626826;0.42108834;0.39228788;0.20662834;0.49013638;0.76341087;0.66174364;0.59104395;0.2905686;0.147844;0.44409174;-0.0826966;0.59439135;0.71967614;0.7596762;0.46675277;0.7938493;0.50454557;0.5513885;0.524289;0.3588971;0.52323735;0.21725604;0.37759858;0.5111935;0.84903526;0.5357828;0.1887416;0.8004406;-0.00838431
cs.AR;0.47626826;0.99999976;0.42769516;0.21343818;0.39794296;0.32754514;0.40953535;0.43481487;0.42874405;0.19593972;-0.15400761;0.27998865;-0.08856679;0.38040465;0.35183492;0.38999778;0.4747085;0.58019793;0.268593;0.33175865;0.14277598;0.24223846;0.3859489;0.090297915;0.41724217;0.32904458;0.38108712;0.2424566;-0.11130237;0.3425675;-0.11944245
cs.CC;0.42108834;0.42769516;1.0000001;0.28886914;0.15377319;0.24213684;0.4471414;0.28838566;0.3050272;-0.00766265;-0.044272304;0.20958203;-0.072099745;0.3647612;0.32932025;0.32544386;0.38822305;0.45630276;0.23067617;0.31418797;0.19876647;0.20029151;0.33849373;0.03644238;0.22484984;0.25238305;0.4300726;0.31478867;0.041250836;0.35786432;0.009010065
cs.CG;0.39228788;0.21343818;0.28886914;1.0;0.14283374;0.26296481;0.2678672;0.35602486;0.17153807;0.17958665;0.11150239;0.2955476;-0.018824182;0.29396534;0.16523784;0.33222002;0.35988742;0.4335945;0.14080292;0.30322492;0.1581825;0.1989156;0.4163555;0.14791313;0.29055482;0.2854975;0.3054769;0.13739185;0.20946321;0.381055;0.009900976
cs.CL;0.20662834;0.39794296;0.15377319;0.14283374;0.99999994;0.2858432;0.08457447;0.20542464;0.30163324;0.14975622;-0.36827683;0.08093849;0.31008905;0.24961343;0.0407779;0.17458656;0.33569974;0.18147272;0.15497884;0.20047204;0.015563264;0.36502784;0.102843985;0.21458635;0.35097176;0.33857828;0.13276023;-0.05009733;-0.18525004;0.20031539;-0.32826108
cs.CR;0.49013638;0.32754514;0.24213684;0.26296481;0.2858432;0.99999976;0.42160523;0.45982665;0.399597;0.3015899;-0.034693718;0.3121367;-0.020202132;0.44632107;0.36673483;0.31611964;0.22478224;0.386974;0.25760075;0.40209997;0.36648262;0.25061333;0.31338698;0.11956251;0.45014936;0.4021562;0.46958447;0.27092043;0.07476294;0.4967701;-0.04251163
cs.CV;0.76341087;0.40953535;0.4471414;0.2678672;0.08457447;0.42160523;1.0000004;0.5694548;0.474742;0.11180602;0.08216718;0.2077634;-0.19203123;0.35694325;0.82895577;0.61046326;0.31143665;0.60001624;0.3114183;0.34731793;0.531366;0.2492404;0.4559897;0.09755555;0.27237827;0.31469023;0.8514369;0.46994537;0.07886313;0.57869565;0.08871703
cs.DB;0.66174364;0.43481487;0.28838566;0.35602486;0.20542464;0.45982665;0.5694548;1.0000002;0.3244424;0.63636506;0.014006739;0.46445903;-0.0031670737;0.43261665;0.60286725;0.65703;0.36159444;0.67331386;0.43007627;0.4519669;0.2926222;0.32152605;0.3944435;0.20611963;0.5770996;0.55954206;0.55716807;0.27043688;0.115175456;0.5202127;-0.15039998
cs.DC;0.59104395;0.42874405;0.3050272;0.17153807;0.30163324;0.399597;0.474742;0.3244424;1.0;0.19686776;0.033777796;0.2105776;-0.0593125;0.46550176;0.41722196;0.41730127;0.36683464;0.43966705;0.23209822;0.37334543;0.37810886;0.2429856;0.28385532;0.10646648;0.34158152;0.37253517;0.6033775;0.33057898;0.15376279;0.48135138;-0.06822135
cs.DL;0.2905686;0.19593972;-0.00766265;0.17958665;0.14975622;0.3015899;0.11180602;0.63636506;0.19686776;1.0000001;-0.069394834;0.33335942;0.085673116;0.16721338;0.24696554;0.41273487;0.1273327;0.32390666;0.23418781;0.28264314;0.04624585;0.10325882;0.111986056;0.21900871;0.45527536;0.4053629;0.17957768;0.055923223;0.128396;0.26063824;-0.15563157
cs.DM;0.147844;-0.15400761;-0.044272304;0.11150239;-0.36827683;-0.034693718;0.08216718;0.014006739;0.033777796;-0.069394834;1.0000004;0.09800148;-0.17643183;0.023727447;0.06412609;0.09732745;-0.06379199;0.09258687;0.121227905;0.06534299;0.28361493;0.0151067525;0.06667037;-0.20875755;-0.13462506;-0.04498843;0.21270949;0.08172627;0.2362415;0.13080758;0.022373265
cs.FL;0.44409174;0.27998865;0.20958203;0.2955476;0.08093849;0.3121367;0.2077634;0.46445903;0.2105776;0.33335942;0.09800148;1.0;-0.033041045;0.24188603;0.2571839;0.39650762;0.2744552;0.42753696;0.5164686;0.3893996;0.1682385;0.3434922;0.3766395;-0.0338948;0.37713683;0.63179415;0.2956977;0.13700639;0.18924727;0.4123667;-0.11232514
cs.GR;-0.0826966;-0.08856679;-0.072099745;-0.018824182;0.31008905;-0.020202132;-0.19203123;-0.0031670737;-0.0593125;0.085673116;-0.17643183;-0.033041045;1.0;0.11069857;-0.11681938;-0.048711225;-0.004279612;-0.09252452;-0.09482947;-0.016497057;-0.29459247;-0.01905436;-0.24699597;0.06074392;0.09089902;0.070013225;-0.113832675;-0.071916;-0.012705634;-0.05628749;-0.029864445
cs.GT;0.59439135;0.38040465;0.3647612;0.29396534;0.24961343;0.44632107;0.35694325;0.43261665;0.46550176;0.16721338;0.023727447;0.24188603;0.11069857;0.9999999;0.41033077;0.48122573;0.49748975;0.6080458;0.39365408;0.5879463;0.28035232;0.2650497;0.28046864;0.29669112;0.40394574;0.35421544;0.48925787;0.40001425;0.09777581;0.59114265;-0.107118964
cs.HC;0.71967614;0.35183492;0.32932025;0.16523784;0.0407779;0.36673483;0.82895577;0.60286725;0.41722196;0.24696554;0.06412609;0.2571839;-0.11681938;0.41033077;0.9999999;0.6392427;0.22087654;0.5222162;0.40301055;0.37240338;0.50502247;0.2964448;0.3227103;0.17894743;0.3531661;0.38761383;0.72865856;0.4701973;0.058473483;0.60669196;0.07230902
cs.IR;0.7596762;0.38999778;0.32544386;0.33222002;0.17458656;0.31611964;0.61046326;0.65703;0.41730127;0.41273487;0.09732745;0.39650762;-0.048711225;0.48122573;0.6392427;1.0;0.44715494;0.7410647;0.45011422;0.46537977;0.42751342;0.24048445;0.43448466;0.24337557;0.35704285;0.49881;0.58796036;0.40896395;0.15296948;0.6624759;-0.062042303
cs.IT;0.46675277;0.4747085;0.38822305;0.35988742;0.33569974;0.22478224;0.31143665;0.36159444;0.36683464;0.1273327;-0.06379199;0.2744552;-0.004279612;0.49748975;0.22087654;0.44715494;0.9999999;0.5749589;0.24500307;0.3115548;0.20402619;0.15264837;0.46885115;0.23238409;0.3350305;0.3045339;0.33963773;0.13460794;0.13464709;0.40563422;-0.1099653
cs.LG;0.7938493;0.58019793;0.45630276;0.4335945;0.18147272;0.386974;0.60001624;0.67331386;0.43966705;0.32390666;0.09258687;0.42753696;-0.09252452;0.6080458;0.5222162;0.7410647;0.5749589;1.0000002;0.4302442;0.4939388;0.36630002;0.3082685;0.5502112;0.17808297;0.39580774;0.4542151;0.58161074;0.34018004;0.15982287;0.6115139;-0.07784761
cs.LO;0.50454557;0.268593;0.23067617;0.14080292;0.15497884;0.25760075;0.3114183;0.43007627;0.23209822;0.23418781;0.121227905;0.5164686;-0.09482947;0.39365408;0.40301055;0.45011422;0.24500307;0.4302442;0.9999999;0.4147125;0.286115;0.171206;0.24518648;-0.006908387;0.28731716;0.47996396;0.39141566;0.32336903;0.029780583;0.39988256;-0.05605429
cs.MA;0.5513885;0.33175865;0.31418797;0.30322492;0.20047204;0.40209997;0.34731793;0.4519669;0.37334543;0.28264314;0.06534299;0.3893996;-0.016497057;0.5879463;0.37240338;0.46537977;0.3115548;0.4939388;0.4147125;1.0000002;0.3219043;0.29680055;0.33049285;0.20642759;0.33291316;0.41695818;0.48958072;0.40297294;0.21850699;0.54883426;-0.10455531
cs.MM;0.524289;0.14277598;0.19876647;0.1581825;0.015563264;0.36648262;0.531366;0.2926222;0.37810886;0.04624585;0.28361493;0.1682385;-0.29459247;0.28035232;0.50502247;0.42751342;0.20402619;0.36630002;0.286115;0.3219043;0.9999999;0.19439474;0.32041198;-0.024663016;0.13949145;0.2173789;0.5419891;0.3594169;0.21848056;0.5506065;-0.046129562
