id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000000000000002;0.25343823723276115;0.2108066079233381;0.18681407156725954;0.3975975239182496;0.41720669154341744;0.4284939382302317;0.430943263635209;0.42323534456417067;0.3483641524560311;0.12765087391675256;0.1842850243762052;0.2503696315893322;0.32248024016663746;0.2430232560769755;0.15532615521620027;0.41318845591444087;0.5932659164910913;0.4381740473817879;0.46815113308743883;0.2537839610682841;0.3452098254242841;0.40351099454794026;0.3695105644595197;0.4501183258481811;0.034302872024414;0.4856312183469257;0.19987824844585167;0.0;0.3566694161000214;0.18266493901452432
cs.AR;0.25343823723276115;1.0000000000000004;0.1506411017912673;0.19725665175092266;0.4036316735899985;0.3523553082503477;0.20318620900852713;0.22041733225607527;0.2826234408556906;0.1643677423333218;0.5126858235179786;0.09318429074033725;0.2748901231177129;0.15648892623986263;0.18042665557085535;0.15818723540387603;0.16505099829867326;0.2382398808995288;0.26258024982244804;0.13810415756131067;0.04809196662717547;0.24745438985673318;0.29610096832215715;0.11709563108421221;0.2918304364808623;0.16944188806541338;0.15137037773917428;0.34938161476655244;0.0;0.010556491738367643;0.22715420851348736
cs.CC;0.2108066079233381;0.1506411017912673;1.0000000000000007;0.25305899040150553;0.16761411824428818;0.21582425870209465;0.0032924043866583274;0.17416043812724102;0.2687364018946508;-0.02448216577185424;0.041370593423508815;0.18035647858785409;0.26288018623312776;0.18523052411429808;0.26809800588625254;0.15438093955995824;0.1900973174498598;0.28354116153064834;0.2839930257975764;0.11385725275788551;0.06321278646251635;0.23510911263548195;0.18390022248475674;0.23636528173668717;0.17808353267396337;0.04727265650646798;0.16454499682847143;0.14843066707329194;0.0;0.18782305415268297;0.07445064499308407
cs.CG;0.18681407156725954;0.19725665175092266;0.25305899040150553;0.9999999999999999;0.13803854742014512;0.06874149495168537;0.10498654441158488;0.08886851930907622;0.1327070467856062;0.07415055674558227;0.05317998857122642;0.07975000020111302;0.16398434507067208;0.2804837432923319;0.14921218645798232;0.18093973379437325;0.12295602292418716;0.1436286222643538;0.1777263776559246;0.10894053474191744;0.08125760560233947;0.2373010413557245;0.27226697588083426;0.19338969265165518;0.13483086553874282;0.11125418646391508;0.21013202741564072;0.08317399684491768;0.0;0.23672524733167175;0.08952563826910628
cs.CL;0.3975975239182496;0.4036316735899985;0.16761411824428818;0.13803854742014512;0.9999999999999996;0.504599220540936;0.3530528093671546;0.37951531263980737;0.4042756093111185;0.3674771209744448;0.47358428428000776;0.10453173544143939;0.2596287540589494;0.28265730039518966;0.1802453854909267;0.23744188851764886;0.2629803800048018;0.3639761618146167;0.5083118719673934;0.3631461327042701;0.22343129525105712;0.2616395737366084;0.4524320686111388;0.20063131214827173;0.3170420775389797;0.26448954518368145;0.19133801637196157;0.2599501747983408;0.0;0.03735193095735768;0.1663863084885467
cs.CR;0.41720669154341744;0.3523553082503477;0.21582425870209465;0.06874149495168537;0.504599220540936;1.0;0.3512807733140048;0.4449247448101681;0.46146515685427975;0.3146085073812232;0.24553767805060814;0.20416228470712997;0.356384723438984;0.14811645365924198;0.09124125716432298;0.2274945609766931;0.35719645452154725;0.5003863871305769;0.40555474196095476;0.4319816974231851;0.4202920654686323;0.38933941593065974;0.3933014443729158;0.4339602044186149;0.3687046529829825;0.06642067877554561;0.27656087638853477;0.24439393477793778;0.0;0.3541869122685934;0.09302022527712697
cs.CV;0.4284939382302317;0.20318620900852713;0.0032924043866583274;0.10498654441158488;0.3530528093671546;0.3512807733140048;0.9999999999999998;0.26346818663468263;0.34238109223548224;0.25152598387313363;0.18592407894280794;0.13536689807230337;0.3539124799079341;0.2349183331860028;0.11530092217775179;0.14778227109855138;0.3076904749889011;0.4319353861592911;0.19671794579323054;0.3168885540479831;0.3193190287958845;0.27821096578652327;0.3684245971389046;0.29165397748612115;0.3430300797763037;0.05165802098011424;0.2936038747156976;0.12001239805656884;0.0;0.25756426968445234;0.1255896823863083
cs.DB;0.430943263635209;0.22041733225607527;0.17416043812724102;0.08886851930907622;0.37951531263980737;0.4449247448101681;0.26346818663468263;1.0000000000000004;0.3539356335658204;0.48957522668346176;0.18615993964073843;0.1504838421493192;0.2945732155014186;0.0905100546560064;0.145544168279484;0.11942266454625854;0.22224078150840534;0.43413457233499786;0.2852603438143439;0.35989309357522087;0.3308209553340128;0.40084074485364035;0.44645751363460995;0.39824807644132976;0.3571828419119918;0.08302157433372877;0.27700384519088833;0.12386711670964812;0.0;0.23890289225607675;0.177906781326391
cs.DC;0.42323534456417067;0.2826234408556906;0.2687364018946508;0.1327070467856062;0.4042756093111185;0.46146515685427975;0.34238109223548224;0.3539356335658204;0.9999999999999994;0.10393748236328916;0.21996642359453428;0.309720116736628;0.3651565261382293;0.2094264736191074;0.1437361172171146;0.07322964121192424;0.19402707177197648;0.5271444605608359;0.41321588140883436;0.3827978313326084;0.3469735211791174;0.4307592645684718;0.40314649523700163;0.3565594557802417;0.44066517860767673;0.015896305951485473;0.1418370316023064;0.2819187869229588;0.0;0.32464734922193744;0.05604968473804198
cs.DL;0.3483641524560311;0.1643677423333218;-0.02448216577185424;0.07415055674558227;0.3674771209744448;0.3146085073812232;0.25152598387313363;0.48957522668346176;0.10393748236328916;0.9999999999999996;0.2933404223312367;0.015431344656951224;0.18322546766742331;0.060739154334942515;0.15196892487658653;0.16564864450464414;0.14459707873661318;0.2557583557346048;0.26266701821399885;0.19640725666435052;0.30925360274505925;0.18773507607391232;0.2894820314500927;0.29102694577765365;0.16891793376921055;0.3247312815499831;0.22089758432382944;0.12915343354524708;0.0;0.024411550563421293;0.1882109426738794
