id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;1.0000001;0.34581682;0.36307862;0.40369514;0.50591564;0.3132299;0.514415;0.29739022;0.36169285;0.25497362;0.34569964;0.3252344;0.39897093;0.39786145;0.5058217;0.4178194;0.3761246;0.5679031;0.34392166;0.5277969;0.19779727;0.31897765;0.31700274;0.30257538;0.27423266;0.3233102;0.4996848;0.42328346;0.43525407;0.34640405;0.3499002
cs.AR;0.34581682;0.9999999;0.36658227;0.40061197;0.3432864;0.45340136;0.3515157;0.29355863;0.437548;0.32559037;0.35448626;0.37769184;0.38660797;0.26655662;0.4047958;0.36928;0.31443846;0.36201084;0.3059626;0.39294794;0.26798728;0.4403455;0.36834204;0.39572147;0.5009295;0.4321267;0.33552167;0.42530307;0.41597244;0.49074322;0.3816949
cs.CC;0.36307862;0.36658227;1.0000005;0.5644295;0.3940769;0.29258597;0.42922848;0.36554605;0.43421668;0.25653186;0.47898012;0.47291225;0.34024426;0.4789056;0.44032723;0.3270325;0.47782102;0.464614;0.37703776;0.41025612;0.15277831;0.43329903;0.46297595;0.31876406;0.24217905;0.3629263;0.37428224;0.4814371;0.42431492;0.3756151;0.34008256
cs.CG;0.40369514;0.40061197;0.5644295;0.9999997;0.42417088;0.37696192;0.5443905;0.28835708;0.39749542;0.2841331;0.50340074;0.37915146;0.4946671;0.38489053;0.44793168;0.43785378;0.4462163;0.5000826;0.3342712;0.41656142;0.23173818;0.4512878;0.4975182;0.38677815;0.3224547;0.34675482;0.44981948;0.55779934;0.47856894;0.4186829;0.34939054
cs.CL;0.50591564;0.3432864;0.3940769;0.42417088;1.0;0.3344777;0.53772587;0.35655275;0.34089732;0.34522244;0.36559826;0.43334678;0.3483754;0.36447906;0.5096476;0.61307305;0.39727888;0.6647085;0.29614964;0.48743728;0.28802568;0.4180274;0.39965793;0.31312394;0.3480512;0.40698358;0.32071322;0.4216809;0.48698545;0.4195075;0.31422994
cs.CR;0.3132299;0.45340136;0.29258597;0.37696192;0.3344777;0.9999998;0.3907648;0.29878423;0.4004194;0.3182692;0.3498562;0.28958014;0.3163415;0.30837837;0.43248883;0.3317827;0.34179914;0.40341845;0.22343712;0.37427533;0.2527314;0.41212615;0.38329342;0.46980765;0.34591198;0.29429007;0.3863634;0.37222618;0.36839256;0.47204095;0.30205292
cs.CV;0.514415;0.3515157;0.42922848;0.5443905;0.53772587;0.3907648;1.0000001;0.3271806;0.42733926;0.2976956;0.39379475;0.3376809;0.5118693;0.36212224;0.5283156;0.5008763;0.41539344;0.6720683;0.2680229;0.48441452;0.28644505;0.37718377;0.41251507;0.3581445;0.32928598;0.36808905;0.544685;0.4523893;0.5206557;0.46576458;0.4056779
cs.DB;0.29739022;0.29355863;0.36554605;0.28835708;0.35655275;0.29878423;0.3271806;0.9999998;0.40995815;0.3787949;0.30321148;0.3220383;0.23261417;0.30386692;0.35341334;0.48467788;0.2385698;0.360832;0.26650825;0.32845873;0.33257806;0.37550294;0.22733219;0.38733795;0.36769998;0.39532718;0.24287069;0.27467462;0.40539834;0.31870967;0.35177183
cs.DC;0.36169285;0.437548;0.43421668;0.39749542;0.34089732;0.4004194;0.42733926;0.40995815;1.0;0.34081465;0.3654394;0.35030288;0.29936767;0.28516775;0.41407597;0.39803115;0.29728752;0.40600106;0.29425368;0.44654632;0.29677716;0.42703092;0.3612576;0.49604973;0.4002711;0.41265643;0.35790247;0.42534128;0.42005718;0.42651492;0.2901844
cs.DL;0.25497362;0.32559037;0.25653186;0.2841331;0.34522244;0.3182692;0.2976956;0.3787949;0.34081465;0.99999994;0.28283566;0.24876212;0.26457128;0.19862734;0.32582462;0.47540376;0.26043674;0.34171298;0.20459327;0.30662677;0.35263237;0.399731;0.17411686;0.37822416;0.28870705;0.3009256;0.24404457;0.28821507;0.44453746;0.27920222;0.2902166
cs.DM;0.34569964;0.35448626;0.47898012;0.50340074;0.36559826;0.3498562;0.39379475;0.30321148;0.3654394;0.28283566;1.0000005;0.43028975;0.40010083;0.44035873;0.41122332;0.38405502;0.46297178;0.36529383;0.43654463;0.41678277;0.23333386;0.4740175;0.4400848;0.3756864;0.29204306;0.32104748;0.3716075;0.453;0.45444673;0.38096637;0.38510564
cs.FL;0.3252344;0.37769184;0.47291225;0.37915146;0.43334678;0.28958014;0.3376809;0.3220383;0.35030288;0.24876212;0.43028975;1.0000004;0.26564044;0.28052756;0.3474332;0.40940234;0.410665;0.34421316;0.45058015;0.3592583;0.20085107;0.36297998;0.3175444;0.326316;0.28419286;0.4604542;0.2960133;0.42439044;0.39955783;0.36054307;0.31404984
