id;cs.AI;cs.AR;cs.CC;cs.CG;cs.CL;cs.CR;cs.CV;cs.DB;cs.DC;cs.DL;cs.DM;cs.FL;cs.GR;cs.GT;cs.HC;cs.IR;cs.IT;cs.LG;cs.LO;cs.MA;cs.MM;cs.MS;cs.NA;cs.NI;cs.OS;cs.PL;cs.RO;cs.SC;cs.SD;cs.SE;cs.SY
cs.AI;0.9999995;0.7726691;0.8979361;0.86043435;0.82846546;0.8536978;0.8942467;0.817025;0.84844095;0.7491765;0.9095541;0.85612;0.8204332;0.89643794;0.9157106;0.7774163;0.8863089;0.8894084;0.88285094;0.8978023;0.7760002;0.89978117;0.89094716;0.797224;0.8216965;0.88890576;0.9042443;0.89219046;0.7753912;0.6485918;0.7985961
cs.AR;0.7726691;0.9999999;0.7710127;0.83436483;0.74160194;0.7529438;0.8141746;0.7443315;0.77277166;0.6742302;0.76595294;0.7443406;0.8283448;0.7219384;0.77095556;0.677222;0.80159074;0.7982187;0.72223055;0.75695086;0.69260013;0.78305703;0.7682735;0.76359624;0.7548624;0.76765376;0.7525629;0.8239903;0.73938054;0.7773378;0.71483576
cs.CC;0.8979361;0.7710127;0.99999994;0.88766557;0.7695982;0.7866354;0.8547792;0.8143485;0.8398011;0.70690066;0.87473077;0.8092282;0.78256106;0.8402893;0.8590036;0.7573851;0.89300567;0.88134193;0.8566375;0.8698958;0.70480156;0.9147194;0.8935492;0.7722623;0.7861707;0.80699825;0.8277539;0.89761895;0.76030374;0.6572709;0.7854487
cs.CG;0.86043435;0.83436483;0.88766557;0.99999994;0.7673091;0.75304717;0.87840325;0.782429;0.79734296;0.70961237;0.879402;0.80420417;0.8791909;0.8109218;0.8465787;0.72752684;0.88807404;0.8651275;0.78737384;0.8174821;0.72763467;0.8723627;0.90379727;0.7573099;0.7743629;0.8032761;0.8405865;0.9147445;0.78544325;0.7163867;0.76614213
cs.CL;0.82846546;0.74160194;0.7695982;0.7673091;1.0;0.72687584;0.8109627;0.74627143;0.7426616;0.68824047;0.78289425;0.82919574;0.75819623;0.7036953;0.7893597;0.7199878;0.8110278;0.7921646;0.73938406;0.7532567;0.6961636;0.75772315;0.77352667;0.70897293;0.6908008;0.78573936;0.77017856;0.808285;0.71966046;0.6498594;0.66791534
cs.CR;0.8536978;0.7529438;0.7866354;0.75304717;0.72687584;0.99999964;0.8232591;0.7947835;0.83478767;0.7951485;0.790147;0.7109853;0.7941888;0.7537402;0.820755;0.7861354;0.82061386;0.8026014;0.71287155;0.8139348;0.7927025;0.8104369;0.76556975;0.8779566;0.8789714;0.8069044;0.80437267;0.7893427;0.69898355;0.6628491;0.76939243
cs.CV;0.8942467;0.8141746;0.8547792;0.87840325;0.8109627;0.8232591;0.9999999;0.83221316;0.82335013;0.8206515;0.8503792;0.78976595;0.89762765;0.81114453;0.87083125;0.8280276;0.89967585;0.9004107;0.8034836;0.84165037;0.8157206;0.86226827;0.88737786;0.80599654;0.796349;0.82284015;0.8509776;0.8763887;0.82173353;0.6619974;0.79228276
cs.DB;0.817025;0.7443315;0.8143485;0.782429;0.74627143;0.7947835;0.83221316;1.0000004;0.8559843;0.8181001;0.7969708;0.7702739;0.76811904;0.73755443;0.81189907;0.8826094;0.8272364;0.8696427;0.73345876;0.8250661;0.762851;0.83631915;0.8121128;0.8303146;0.8343757;0.82541925;0.74431914;0.83009046;0.6518474;0.6168769;0.78461033
cs.DC;0.84844095;0.77277166;0.8398011;0.79734296;0.7426616;0.83478767;0.82335013;0.8559843;0.99999976;0.80030334;0.8183538;0.7813592;0.78809255;0.7779316;0.8333849;0.79970926;0.82665604;0.8450564;0.7372202;0.84352875;0.7902666;0.84196126;0.80475384;0.8699408;0.8730563;0.85863405;0.8080763;0.8447136;0.6969393;0.655371;0.8210704
cs.DL;0.7491765;0.6742302;0.70690066;0.70961237;0.68824047;0.7951485;0.8206515;0.8181001;0.80030334;1.0;0.7304045;0.7003031;0.7975686;0.6580361;0.74161875;0.8566856;0.7718042;0.76242155;0.6253859;0.73441625;0.89793575;0.74211925;0.7091326;0.84097815;0.7708922;0.7991698;0.70751864;0.73685133;0.66999185;0.5274959;0.70438915
cs.DM;0.9095541;0.76595294;0.87473077;0.879402;0.78289425;0.790147;0.8503792;0.7969708;0.8183538;0.7304045;0.9999998;0.88755006;0.8045883;0.8807936;0.86651427;0.7329261;0.87478167;0.84991914;0.8837305;0.8388345;0.7474352;0.9085176;0.92240417;0.75242037;0.8007786;0.8910469;0.8383058;0.9286191;0.7484156;0.63032335;0.77774537
cs.FL;0.85612;0.7443406;0.8092282;0.80420417;0.82919574;0.7109853;0.78976595;0.7702739;0.7813592;0.7003031;0.88755006;0.99999976;0.7263406;0.8113488;0.8176877;0.7024861;0.81208664;0.7789836;0.858615;0.80689085;0.7152716;0.8392403;0.85398406;0.70407426;0.7142616;0.91315967;0.7576115;0.8809631;0.70251846;0.5545827;0.71101475
cs.GR;0.8204332;0.8283448;0.78256106;0.8791909;0.75819623;0.7941888;0.89762765;0.76811904;0.78809255;0.7975686;0.8045883;0.7263406;1.0000002;0.75980204;0.8279117;0.73994464;0.8323459;0.83230495;0.7109316;0.7587115;0.8410465;0.81063175;0.81056744;0.7820745;0.8062892;0.7854995;0.80776626;0.8419969;0.78353375;0.7149105;0.7334276
cs.GT;0.89643794;0.7219384;0.8402893;0.8109218;0.7036953;0.7537402;0.81114453;0.73755443;0.7779316;0.6580361;0.8807936;0.8113488;0.75980204;1.0000001;0.8870285;0.6821423;0.8567597;0.80587596;0.9029734;0.8164564;0.70162046;0.88258463;0.8784031;0.6935004;0.7687925;0.8291208;0.8144194;0.8461292;0.73272455;0.6052197;0.72966444
cs.HC;0.9157106;0.77095556;0.8590036;0.8465787;0.7893597;0.820755;0.87083125;0.81189907;0.8333849;0.74161875;0.86651427;0.8176877;0.8279117;0.8870285;0.99999994;0.75719655;0.86454797;0.86285096;0.8453037;0.84760725;0.78319395;0.8736465;0.8735904;0.7829562;0.8173436;0.8477543;0.87519693;0.87070936;0.78255826;0.63542145;0.7851377
cs.IR;0.7774163;0.677222;0.7573851;0.72752684;0.7199878;0.7861354;0.8280276;0.8826094;0.79970926;0.8566856;0.7329261;0.7024861;0.73994464;0.6821423;0.75719655;0.9999999;0.8283255;0.8190178;0.6901393;0.7961262;0.77943504;0.77791566;0.7463423;0.79918665;0.7785954;0.7698202;0.7306309;0.7652184;0.64484376;0.59770393;0.72804904
cs.IT;0.8863089;0.80159074;0.89300567;0.88807404;0.8110278;0.82061386;0.89967585;0.8272364;0.82665604;0.7718042;0.87478167;0.81208664;0.8323459;0.8567597;0.86454797;0.8283255;1.0000002;0.88915825;0.85467213;0.83753633;0.7548633;0.87351596;0.9051438;0.81192523;0.8046758;0.819714;0.81825715;0.8990304;0.80801857;0.7055831;0.7896666
cs.LG;0.8894084;0.7982187;0.88134193;0.8651275;0.7921646;0.8026014;0.9004107;0.8696427;0.8450564;0.76242155;0.84991914;0.7789836;0.83230495;0.80587596;0.86285096;0.8190178;0.88915825;1.0;0.7879126;0.8615807;0.7657787;0.886156;0.8822094;0.8167102;0.81961894;0.8181458;0.84887946;0.8886642;0.7733141;0.6998867;0.8103679
cs.LO;0.88285094;0.72223055;0.8566375;0.78737384;0.73938406;0.71287155;0.8034836;0.73345876;0.7372202;0.6253859;0.8837305;0.858615;0.7109316;0.9029734;0.8453037;0.6901393;0.85467213;0.7879126;0.99999994;0.8219707;0.65745974;0.8698613;0.8676249;0.65956753;0.690573;0.81691164;0.75930065;0.8517346;0.72916627;0.57614183;0.71156955
cs.MA;0.8978023;0.75695086;0.8698958;0.8174821;0.7532567;0.8139348;0.84165037;0.8250661;0.84352875;0.73441625;0.8388345;0.80689085;0.7587115;0.8164564;0.84760725;0.7961262;0.83753633;0.8615807;0.8219707;0.99999994;0.7555328;0.87714773;0.83437866;0.78047013;0.8021323;0.8400402;0.8353923;0.84410936;0.7217793;0.6444921;0.8183889
cs.MM;0.7760002;0.69260013;0.70480156;0.72763467;0.6961636;0.7927025;0.8157206;0.762851;0.7902666;0.89793575;0.7474352;0.7152716;0.8410465;0.70162046;0.78319395;0.77943504;0.7548633;0.7657787;0.65745974;0.7555328;1.0000002;0.747682;0.7210593;0.8028483;0.76895905;0.81609607;0.7301188;0.75041884;0.7192866;0.55681425;0.70169175
cs.MS;0.89978117;0.78305703;0.9147194;0.8723627;0.75772315;0.8104369;0.86226827;0.83631915;0.84196126;0.74211925;0.9085176;0.8392403;0.81063175;0.88258463;0.8736465;0.77791566;0.87351596;0.886156;0.8698613;0.87714773;0.747682;0.99999946;0.9049885;0.7723659;0.8361234;0.8644545;0.84255075;0.9248115;0.74046105;0.68478644;0.7908093
cs.NA;0.89094716;0.7682735;0.8935492;0.90379727;0.77352667;0.76556975;0.88737786;0.8121128;0.80475384;0.7091326;0.92240417;0.85398406;0.81056744;0.8784031;0.8735904;0.7463423;0.9051438;0.8822094;0.8676249;0.83437866;0.7210593;0.9049885;1.0;0.74548036;0.791935;0.84488636;0.8310814;0.94249153;0.7797383;0.649144;0.79252464
cs.NI;0.797224;0.76359624;0.7722623;0.7573099;0.70897293;0.8779566;0.80599654;0.8303146;0.8699408;0.84097815;0.75242037;0.70407426;0.7820745;0.6935004;0.7829562;0.79918665;0.81192523;0.8167102;0.65956753;0.78047013;0.8028483;0.7723659;0.74548036;0.99999964;0.8472305;0.79194665;0.7460229;0.78553766;0.677125;0.61762965;0.7773318
cs.OS;0.8216965;0.7548624;0.7861707;0.7743629;0.6908008;0.8789714;0.796349;0.8343757;0.8730563;0.7708922;0.8007786;0.7142616;0.8062892;0.7687925;0.8173436;0.7785954;0.8046758;0.81961894;0.690573;0.8021323;0.76895905;0.8361234;0.791935;0.8472305;1.0000001;0.83386856;0.77315384;0.81617856;0.6643681;0.67515844;0.8309087
cs.PL;0.88890576;0.76765376;0.80699825;0.8032761;0.78573936;0.8069044;0.82284015;0.82541925;0.85863405;0.7991698;0.8910469;0.91315967;0.7854995;0.8291208;0.8477543;0.7698202;0.819714;0.8181458;0.81691164;0.8400402;0.81609607;0.8644545;0.84488636;0.79194665;0.83386856;0.99999934;0.79580003;0.8677692;0.69291896;0.5626085;0.7991411
cs.RO;0.9042443;0.7525629;0.8277539;0.8405865;0.77017856;0.80437267;0.8509776;0.74431914;0.8080763;0.70751864;0.8383058;0.7576115;0.80776626;0.8144194;0.87519693;0.7306309;0.81825715;0.84887946;0.75930065;0.8353923;0.7301188;0.84255075;0.8310814;0.7460229;0.77315384;0.79580003;1.0000004;0.83659375;0.7553661;0.70310616;0.7571355
cs.SC;0.89219046;0.8239903;0.89761895;0.9147445;0.808285;0.7893427;0.8763887;0.83009046;0.8447136;0.73685133;0.9286191;0.8809631;0.8419969;0.8461292;0.87070936;0.7652184;0.8990304;0.8886642;0.8517346;0.84410936;0.75041884;0.9248115;0.94249153;0.78553766;0.81617856;0.8677692;0.83659375;0.9999999;0.78269273;0.7002029;0.79800487
cs.SD;0.7753912;0.73938054;0.76030374;0.78544325;0.71966046;0.69898355;0.82173353;0.6518474;0.6969393;0.66999185;0.7484156;0.70251846;0.78353375;0.73272455;0.78255826;0.64484376;0.80801857;0.7733141;0.72916627;0.7217793;0.7192866;0.74046105;0.7797383;0.677125;0.6643681;0.69291896;0.7553661;0.78269273;0.99999976;0.7067762;0.6350256
