model;precision;recall;fscore;support
data/embeddings/class2aikg_TransE.pickle;0.5014005602240896;0.5966666666666667;0.5449010654490106;
data/embeddings/wikipedia2Vec.pickle;0.7375415282392026;0.74;0.7387687188019967;
data/embeddings/bert_wikipedia.pickle;0.5045871559633027;0.55;0.5263157894736842;
data/embeddings/bert_name.pickle;0.5077881619937694;0.5433333333333333;0.5249597423510467;
data/embeddings/word2Vec_name.pickle;0.6676470588235294;0.7566666666666667;0.709375;
data/embeddings/class2aikg_TransR.pickle;0.4984894259818731;0.55;0.5229793977812995;
data/embeddings/transR_dbpedia.pickle;0.5477707006369427;0.5733333333333334;0.5602605863192183;
data/embeddings/kgVec2Go_dbpedia.pickle;0.4956772334293948;0.5733333333333334;0.5316846986089645;
data/embeddings/transE_dbpedia.pickle;0.5082508250825083;0.5133333333333333;0.5107794361525705;
data/embeddings/word2Vec_wikipedia.pickle;0.6818181818181818;0.65;0.6655290102389079;
data/annotations/arXivClassEvaluationResults - Annotator00.csv;0.9653979238754326;0.93;0.9473684210526316;
data/annotations/arXivClassEvaluationResults - Annotator01.csv;0.9527027027027027;0.94;0.9463087248322148;
data/annotations/merged1.csv;0.9517241379310345;0.92;0.9355932203389831;
data/annotations/merged2.csv;0.9282511210762332;0.69;0.7915869980879541;
data/annotations/merged3.csv;0.9362549800796812;0.7833333333333333;0.8529945553539019;
